Name,Allegiances,Death Year,BookDeath,DeathChapter,BookIntro,Gender,Intro,Death,x1,y1,x2,y2,rot,offset,Id
Eon Hunter,Arryn,300,3,80,38,1,7.6,48,881.04,186.46,306.11,1004.5,-55.8,0,1
Monford Velaryon,Baratheon,299,3,25,0,1,0,37,600,100,716.72,1086.2,-90,0,2
Guncer Sunglass,Baratheon,299,3,10,0,1,0,34,600,100,827,1045.5,-90,7,3
Bryen Farring,Baratheon,300,5,62,10,1,2,76.4,678.22,106.16,460.5,119.85,-81,0,4
Dale Seaworth,Baratheon,299,2,58,10,1,2,27.6,678.22,106.16,1013.5,881.04,-81,7,5
Matthos Seaworth,Baratheon,299,2,58,10,1,2,27.6,678.22,106.16,1013.5,881.04,-81,14,6
Allard Seaworth,Baratheon,299,2,10,10,1,2,18,678.22,106.16,1093.8,521.78,-81,21,7
Hubard Rambton,Baratheon,299,5,10,10,1,2,66,678.22,106.16,154.5,373,-81,28,8
Guyard Morrigen,Baratheon,299,2,62,22,1,4.4,28.4,769.37,129.56,995.08,906.45,-70.2,0,9
Bryce Caron,Baratheon,299,2,65,29,1,5.8,29,819.97,150.99,980.2,924.72,-63.9,0,10
Robar Royce,Baratheon,299,2,6,29,1,5.8,17.2,819.97,150.99,1088,490.93,-63.9,6,11
Cortnay Penrose,Baratheon,299,2,42,31,1,6.2,24.4,833.96,158.12,1070.4,769.37,-62.1,0,12
Emmon Cuy,Baratheon,299,2,42,33,1,6.6,24.4,847.73,165.68,1070.4,769.37,-60.3,0,13
Bryan Fossoway,Baratheon,299,2,62,42,1,8.4,28.4,906.45,204.92,995.08,906.45,-52.2,0,14
Patrek of King's Mountain,Baratheon,300,5,69,44,1,8.8,77.8,918.71,214.74,514.04,107.45,-50.4,0,15
Mandon Moore,Baratheon,299,2,61,51,1,10.2,28.2,959.06,252.04,999.84,900.21,-44.1,0,16
Imry Florent,Baratheon,299,3,4,58,1,11.6,32.8,995.08,293.55,867.91,1022.2,-37.8,0,17
Sawane Botley,Greyjoy,299,4,18,1,1,0.2,51.6,607.85,100.06,204.92,906.45,-89.1,0,18
Dagon Codd,Greyjoy,300,5,20,20,1,4,68,754.51,124.47,195.49,306.11,-72,0,19
Gevin Harlaw,Greyjoy,299,2,66,37,1,7.4,29.2,874.51,182.1,975.06,930.66,-56.7,0,20
Harrag Sharp,Greyjoy,299,5,19,66,1,13.2,67.8,1030.4,345.48,190.93,312.5,-30.6,0,21
Falyse Stokeworth,Lannister,300,5,36,2,0,0.4,71.2,615.71,100.25,281.29,214.74,-88.2,0,22
Tanda Stokeworth,Lannister,300,4,32,2,0,0.4,54.4,615.71,100.25,147.59,812.89,-88.2,7,23
Jacelyn Bywater,Lannister,299,2,19,8,0,1.6,19.8,662.67,103.94,1099.9,592.15,-82.8,0,24
Aron Santagar,Lannister,299,2,41,18,1,3.6,24.2,739.5,119.85,1073,761.96,-73.8,0,25
Tion Frey,Lannister,299,3,20,20,0,4,36,754.51,124.47,754.51,1075.5,-72,0,26
Gregor Clegane,Lannister,300,4,72,29,1,5.8,62.4,819.97,150.99,108.86,506.31,-63.9,0,27
Burton Crakehall,Lannister,299,2,7,55,1,11,17.4,980.2,275.28,1089.6,498.61,-40.5,0,28
Gyles Rosby,Lannister,300,4,39,57,1,11.4,55.8,990.22,287.38,126.96,761.96,-38.7,0,29
Arys Oakheart,Lannister,300,4,21,57,1,11.4,52.2,990.22,287.38,190.93,887.5,-38.7,7,30
Leo Lefford,Lannister,299,2,45,62,1,12.4,25,1013.5,318.96,1061.9,791.34,-34.2,0,31
Quentyn Martell,Martell,300,5,70,6,1,1.2,78,647.05,102.22,521.78,106.16,-84.6,0,32
Jory Cassel,Stark,298,1,35,1,1,0.2,7,607.85,100.06,861.25,173.68,-89.1,0,33
Rodrik Cassel,Stark,299,2,66,7,1,1.4,29.2,654.87,103.02,975.06,930.66,-83.7,0,34
Raynald Westerling,Stark,299,3,44,14,1,2.8,40.8,709.07,112.04,568.6,1099,-77.4,0,35
Cley Cerwyn,Stark,299,2,66,16,1,3.2,29.2,724.34,115.71,975.06,930.66,-75.6,0,36
Leobald Tallhart,Stark,299,2,66,16,1,3.2,29.2,724.34,115.71,975.06,930.66,-75.6,9,37
Benfred Tallhart,Stark,299,2,37,16,1,3.2,23.4,724.34,115.71,1082.3,731.94,-75.6,18,38
Donella Hornwood,Stark,299,2,35,16,0,3.2,23,724.34,115.71,1086.2,716.72,-75.6,27,39
Donnel Locke,Stark,299,3,51,25,1,5,42.2,791.34,138.06,514.04,1092.6,-67.5,0,40
Lharys,Stark,298,1,34,31,1,6.2,6.8,833.96,158.12,854.52,169.63,-62.1,0,41
Gladden Wylde,Stark,298,1,55,43,1,8.6,11,912.62,209.78,980.2,275.28,-51.3,0,42
Eddard Karstark,Stark,298,1,63,53,1,10.6,12.6,969.82,263.49,1017.9,325.49,-42.3,7,43
Torrhen Karstark,Stark,298,1,63,53,1,10.6,12.6,969.82,263.49,1017.9,325.49,-42.3,14,44
Halys Hornwood,Stark,298,1,62,53,1,10.6,12.4,969.82,263.49,1013.5,318.96,-42.3,21,45
Medger Cerwyn,Stark,299,2,30,53,1,10.6,22,969.82,263.49,1093.8,678.22,-42.3,28,46
Rickard Karstark,Stark,299,3,20,53,1,10.6,36,969.82,263.49,754.51,1075.5,-42.3,35,47
Wendel Manderly,Stark,299,3,51,55,1,11,42.2,980.2,275.28,514.04,1092.6,-40.5,0,48
Helman Tallhart,Stark,299,3,37,55,1,11,39.4,980.2,275.28,623.55,1099.4,-40.5,7,49
Stevron Frey,Stark,299,2,35,59,1,11.8,23,999.84,299.79,1086.2,716.72,-36.9,0,50
Dacey Mormont,Stark,299,3,51,63,0,12.6,42.2,1017.9,325.49,514.04,1092.6,-33.3,0,52
Jon Umber (Smalljon),Stark,299,3,51,63,1,12.6,42.2,1017.9,325.49,514.04,1092.6,-33.3,7,53
Robin Flint,Stark,299,3,51,63,1,12.6,42.2,1017.9,325.49,514.04,1092.6,-33.3,14,54
Drogo,Targaryen,298,1,64,3,1,0.6,12.8,623.55,100.56,1022.2,332.09,-87.3,0,55
Raymun Darry,Targaryen,298,1,55,16,1,3.2,11,724.34,115.71,980.2,275.28,-75.6,0,56
Lucas Blackwood,Tully,299,3,51,22,1,4.4,42.2,769.37,129.56,514.04,1092.6,-70.2,0,57
Owen Norrey,Tully,299,3,51,51,1,10.2,42.2,959.06,252.04,514.04,1092.6,-44.1,0,58
Lyman Darry,Tully,299,3,7,71,1,14.2,33.4,1049,380.03,847.73,1034.3,-26.1,0,59
Talbert Serry,Tyrell,300,4,29,29,1,5.8,53.8,819.97,150.99,158.12,833.96,-63.9,0,60
